SiteID,Date,Band1_Mean,Band2_Mean,Band3_Mean,Band4_Mean,Band5_Mean,PH
Agri_Land,22-11-2017 00:00,0.195569083,0.166221961,0.123136282,0.104223907,0.160478249,5.263333333
Agri_Land,18-12-2017 00:00,0.264265597,0.227932721,0.170849189,0.153991848,0.192479476,5.226666667
Agri_Land,14-02-2018 00:00,0.293001801,0.272631913,0.228998378,0.22775805,0.301355571,5.248571429
Agri_Land,26-02-2018 00:00,0.270551503,0.245409727,0.182995707,0.174008816,0.193579465,5.151666667
Agri_Land,15-03-2018 00:00,0.556737065,0.566268265,0.530780554,0.57165277,0.631809652,5.235714286
Agri_Land,26-03-2018 00:00,0.544251382,0.552107096,0.526421905,0.566705346,0.602033138,5.28
Agri_Land,09-04-2018 00:00,0.21708478,0.186194777,0.142365381,0.12977758,0.190931827,5.341428571
Agri_Land,12-06-2018 00:00,0.097842783,0.07257203,0.042839296,0.026785892,0.024777533,5.585714286
Agri_Land,25-07-2018 00:00,0.112903573,0.085124388,0.052698359,0.032850169,0.070291691,5.083333333
Agri_Land,22-08-2018 00:00,0.118001521,0.091341741,0.056800358,0.036286745,0.046893932,5.188571429
Agri_Land,29-08-2018 00:00,0.105603971,0.078719251,0.046272751,0.028824186,0.027157823,5.072857143
Agri_Land,11-09-2018 00:00,0.102253549,0.075948603,0.042064734,0.024386983,0.02037647,5.148571429
Agri_Land,26-09-2018 00:00,0.11014884,0.08298067,0.047383379,0.028482694,0.026718842,5.05
Agri_Land,11-10-2018 00:00,0.155640155,0.127035454,0.081281602,0.066817023,0.10097754,4.942857143
Agri_Land,16-10-2018 00:00,0.180163205,0.147450835,0.104705192,0.091470517,0.131674066,5.08
Agri_Land,03-01-2019 00:00,0.255669087,0.228340298,0.175179794,0.163756922,0.191979468,5.068333333
Agri_Land,15-03-2019 00:00,0.296315193,0.27594167,0.230376229,0.22460705,0.246504605,5.37
Agri_Land,08-04-2019 00:00,0.541881621,0.555265248,0.534204006,0.570029557,0.586004138,5.155
Agri_Land,10-04-2019 00:00,0.490870625,0.500642776,0.492193788,0.502633572,0.457978517,5.201666667
Agri_Land,16-04-2019 00:00,0.490870625,0.500642776,0.492193788,0.502633572,0.457978517,5.265714286
Agri_Land,07-05-2019 00:00,0.135880977,0.109695107,0.073185816,0.057462238,0.064434126,5.375714286
Agri_Land,04-06-2019 00:00,0.102948301,0.07743635,0.04542179,0.027262177,0.023428539,5.358571429
Agri_Land,11-06-2019 00:00,0.102948301,0.07743635,0.04542179,0.027262177,0.023428539,5.331666667
Agri_Land,25-06-2019 00:00,0.103574619,0.078180999,0.046408292,0.028188623,0.027636498,5.301666667
Agri_Land,05-07-2019 00:00,0.103165157,0.077252299,0.044142704,0.026079983,0.025939139,5.365714286
Agri_Land,16-07-2019 00:00,0.124303468,0.096895419,0.064945266,0.045249075,0.067151509,5.301666667
Agri_Land,31-07-2019 00:00,0.10854844,0.081894942,0.050670762,0.031777669,0.039421003,5.795
Agri_Land,13-08-2019 00:00,0.156168327,0.125995025,0.084548831,0.05911614,0.124959663,6.16
Agri_Land,17-09-2019 00:00,0.189042166,0.160354599,0.124470666,0.104483128,0.16531156,5.6425
Agri_Land,23-10-2019 00:00,0.115033858,0.085560642,0.048356205,0.029939424,0.02133299,5.023333333
Agri_Land,29-10-2019 00:00,0.238366276,0.207374364,0.151592046,0.134311512,0.147924066,5.01
Agri_Land,03-12-2019 00:00,0.160669208,0.130648255,0.083753794,0.067361668,0.078762837,5.093333333
Agri_Land,07-01-2020 00:00,0.277165949,0.237378612,0.167462945,0.155058101,0.198170871,5.136666667
Agri_Land,26-02-2020 00:00,0.389796168,0.381375849,0.353435159,0.364914715,0.404293448,5.228333333
Agri_Land,11-03-2020 00:00,0.334768385,0.347293973,0.349551022,0.344277501,0.207620203,5.203333333
Agri_Land,29-03-2021 00:00,0.289129764,0.284573376,0.265001744,0.248058692,0.170895338,5.26
Agri_Land,06-05-2021 00:00,0.180548832,0.155954421,0.106284685,0.094367176,0.144941762,5.345
Agri_Land,28-06-2021 00:00,0.179237112,0.14946875,0.102806643,0.083981715,0.121676371,5.146666667
Agri_Land,22-07-2021 00:00,0.116415255,0.089331172,0.056149017,0.037980504,0.038771488,5.233333333
Agri_Land,27-08-2021 00:00,0.125315785,0.09721221,0.06005514,0.038860675,0.062939472,5.303333333
Agri_Land,01-06-2015 00:00,0.133745804,0.108918384,0.082172304,0.064149261,0.109301157,6.388
Agri_Land,19-06-2015 00:00,0.111247361,0.086052477,0.056626625,0.039995421,0.061258789,6.448
Agri_Land,23-06-2015 00:00,0.111247361,0.086052477,0.056626625,0.039995421,0.061258789,6.394
Agri_Land,03-07-2015 00:00,0.159145579,0.133732617,0.101052172,0.075387053,0.118436992,6.426666667
Agri_Land,23-07-2015 00:00,0.12816605,0.097405747,0.059364315,0.039109096,0.032286819,6.678
Agri_Land,26-08-2015 00:00,0.104600511,0.078233168,0.046493955,0.028243572,0.025784034,6.531666667
Agri_Land,04-09-2015 00:00,0.152665004,0.122366071,0.084772043,0.059034914,0.086729087,6.576666667
Agri_Land,19-09-2015 00:00,0.214025199,0.184308261,0.136435986,0.116940834,0.159062415,6.86
Agri_Land,20-09-2015 00:00,0.214025199,0.184308261,0.136435986,0.116940834,0.159062415,6.885
Agri_Land,21-09-2015 00:00,0.214025199,0.184308261,0.136435986,0.116940834,0.159062415,6.87
Agri_Land,22-09-2015 00:00,0.214025199,0.184308261,0.136435986,0.116940834,0.159062415,6.89
Agri_Land,23-09-2015 00:00,0.214025199,0.184308261,0.136435986,0.116940834,0.159062415,6.88
Agri_Land,24-09-2015 00:00,0.214025199,0.184308261,0.136435986,0.116940834,0.159062415,6.91
Agri_Land,25-09-2015 00:00,0.214025199,0.184308261,0.136435986,0.116940834,0.159062415,6.9
Agri_Land,26-09-2015 00:00,0.214025199,0.184308261,0.136435986,0.116940834,0.159062415,7.11
Agri_Land,27-09-2015 00:00,0.214025199,0.184308261,0.136435986,0.116940834,0.159062415,6.9
Agri_Land,28-09-2015 00:00,0.214025199,0.184308261,0.136435986,0.116940834,0.159062415,6.86
Agri_Land,21-10-2015 00:00,0.155718967,0.118827954,0.070222266,0.048293408,0.051021822,6.78
Agri_Land,22-10-2015 00:00,0.155718967,0.118827954,0.070222266,0.048293408,0.051021822,6.74
Agri_Land,23-10-2015 00:00,0.155718967,0.118827954,0.070222266,0.048293408,0.051021822,6.745
Agri_Land,24-10-2015 00:00,0.155718967,0.118827954,0.070222266,0.048293408,0.051021822,6.77
Agri_Land,25-10-2015 00:00,0.155718967,0.118827954,0.070222266,0.048293408,0.051021822,6.73
Agri_Land,26-10-2015 00:00,0.155718967,0.118827954,0.070222266,0.048293408,0.051021822,6.72
Agri_Land,27-10-2015 00:00,0.155718967,0.118827954,0.070222266,0.048293408,0.051021822,6.76
Agri_Land,28-10-2015 00:00,0.155718967,0.118827954,0.070222266,0.048293408,0.051021822,6.685
Agri_Land,29-10-2015 00:00,0.155718967,0.118827954,0.070222266,0.048293408,0.051021822,6.49
Agri_Land,30-10-2015 00:00,0.155718967,0.118827954,0.070222266,0.048293408,0.051021822,6.193333333
Agri_Land,09-11-2015 00:00,0.128512591,0.096982509,0.055690251,0.035074387,0.022905614,6.61
Agri_Land,10-11-2015 00:00,0.128512591,0.096982509,0.055690251,0.035074387,0.022905614,6.63
Agri_Land,11-11-2015 00:00,0.128512591,0.096982509,0.055690251,0.035074387,0.022905614,6.61
Agri_Land,12-11-2015 00:00,0.128512591,0.096982509,0.055690251,0.035074387,0.022905614,6.56
Agri_Land,13-11-2015 00:00,0.128512591,0.096982509,0.055690251,0.035074387,0.022905614,6.173333333
Agri_Land,14-11-2015 00:00,0.128512591,0.096982509,0.055690251,0.035074387,0.022905614,6.53
Agri_Land,15-11-2015 00:00,0.128512591,0.096982509,0.055690251,0.035074387,0.022905614,6.53
Agri_Land,11-01-2016 00:00,0.277822137,0.245463893,0.177165046,0.172108769,0.233369812,5.716
Agri_Land,27-01-2016 00:00,0.2339724,0.196333796,0.137123317,0.120974317,0.162954345,5.916
Agri_Land,15-03-2016 00:00,0.262931973,0.239182442,0.194864616,0.187648118,0.194897115,5.763333333
Agri_Land,17-03-2016 00:00,0.262931973,0.239182442,0.194864616,0.187648118,0.194897115,5.66
Agri_Land,22-03-2016 00:00,0.262931973,0.239182442,0.194864616,0.187648118,0.194897115,5.764
Agri_Land,17-05-2016 00:00,0.109803803,0.084532559,0.054534089,0.037211031,0.034496292,6.068333333
Agri_Land,04-07-2016 00:00,0.190380082,0.156053424,0.111620277,0.089795172,0.138315201,6.51
Agri_Land,23-08-2016 00:00,0.179991126,0.160415545,0.101047955,0.08834219,0.13882345,6.143333333
Agri_Land,12-09-2016 00:00,0.098602392,0.07234285,0.040905438,0.023426542,0.01625606,6.48
Agri_Land,21-09-2016 00:00,0.100452296,0.07350079,0.040951267,0.02328576,0.015563326,6.148333333
Agri_Land,28-09-2016 00:00,0.100452296,0.07350079,0.040951267,0.02328576,0.015563326,6.381666667
Agri_Land,28-11-2016 00:00,0.184707493,0.159697697,0.121338636,0.110465884,0.130555063,6.142
Agri_Land,12-01-2017 00:00,0.357167602,0.338879287,0.297208697,0.302690953,0.344774365,5.814
Agri_Land,14-02-2017 00:00,0.230056852,0.194426268,0.138892338,0.123721339,0.177855074,5.956666667
Agri_Land,08-03-2017 00:00,0.193243742,0.161295354,0.117050596,0.104267024,0.176922917,5.758
Agri_Land,07-04-2017 00:00,0.325661033,0.316588312,0.293484598,0.287523985,0.245783865,5.595
Agri_Land,19-05-2017 00:00,0.14100267,0.110948533,0.074091442,0.053127315,0.055945672,6.212
Agri_Land,07-06-2017 00:00,0.101666592,0.076347925,0.046943981,0.029898621,0.026396343,6.292
Agri_Land,13-06-2017 00:00,0.101666592,0.076347925,0.046943981,0.029898621,0.026396343,6.466
Agri_Land,27-06-2017 00:00,0.186197236,0.15301615,0.110324427,0.087341979,0.149565428,6.85
Agri_Land,09-08-2017 00:00,0.182999507,0.156489834,0.112937845,0.091247372,0.192611814,6.272
Agri_Land,28-08-2017 00:00,0.121632636,0.093048647,0.05805473,0.037556045,0.043591216,6.21
Agri_Land,12-09-2017 00:00,0.111620806,0.083944544,0.050468538,0.03163442,0.030953875,6.334
Agri_Land,17-10-2017 00:00,0.219435856,0.192030519,0.154497698,0.141661346,0.158103138,6.346666667
Agri_Land,19-12-2017 00:00,0.238743186,0.204621971,0.149902537,0.13560468,0.167272687,6.18
Agri_Land,27-03-2018 00:00,0.610043228,0.623031199,0.597446263,0.645443201,0.667262793,6.166666667
Agri_Land,10-04-2018 00:00,0.223269463,0.194781169,0.150918916,0.140697733,0.180203199,6.096
Agri_Land,11-06-2018 00:00,0.099140711,0.073913939,0.044007584,0.027544349,0.024814287,6.448
Agri_Land,25-07-2018 00:00,0.113797501,0.086289331,0.052959751,0.033842597,0.040975176,6.002
Agri_Land,30-08-2018 00:00,0.103053764,0.076216921,0.043887746,0.026130935,0.021470502,6.182
Agri_Land,13-09-2018 00:00,0.1805536,0.150944948,0.109753877,0.086087115,0.113925688,6.272
Agri_Land,01-10-2018 00:00,0.201521561,0.174622774,0.139635175,0.124832891,0.180502638,6.182
Agri_Land,18-10-2018 00:00,0.144124866,0.109653592,0.064898469,0.04465076,0.037615575,6.08
Agri_Land,05-12-2018 00:00,0.207386643,0.168368071,0.111730106,0.09140037,0.14070712,5.926
Agri_Land,10-04-2019 00:00,0.430630833,0.434479743,0.418806672,0.418964446,0.376479626,5.876666667
Agri_Land,27-06-2019 00:00,0.126384392,0.099774115,0.068211012,0.052205846,0.066379718,6.438333333
Agri_Land,24-10-2019 00:00,0.1158292,0.0866298,0.049931746,0.03169613,0.0234369,6.212
Agri_Land,10-01-2020 00:00,0.262540966,0.220266998,0.149330094,0.131690055,0.163735703,6.172
Agri_Land,25-02-2020 00:00,0.416373521,0.410478175,0.382980704,0.398759067,0.419605017,6.343333333
Agri_Land,21-05-2021 00:00,0.144029319,0.11923454,0.088939302,0.0715608,0.100587547,6.47
Agri_Land,08-07-2021 00:00,0.142767891,0.11416018,0.079299927,0.057112746,0.08230713,6.234
Agri_Land,20-08-2021 00:00,0.141023591,0.113324896,0.079751223,0.059143104,0.093537606,6.6
Agri_Land,15-12-2021 00:00,0.214156091,0.176316157,0.117827043,0.098533973,0.111450806,6.324
Agri_Land,22-06-2015 00:00,0.144205377,0.119617566,0.094001941,0.074340045,0.141917452,5.55
Agri_Land,02-07-2015 00:00,0.180902123,0.155819505,0.121206708,0.092226595,0.158530489,5.326666667
Agri_Land,14-07-2015 00:00,0.167942762,0.137781098,0.098208435,0.072480999,0.10975837,5.315
Agri_Land,17-08-2015 00:00,0.112218782,0.085204549,0.05180933,0.030000361,0.029953554,5.7
Agri_Land,31-08-2015 00:00,0.186095178,0.154225796,0.10774295,0.076139882,0.090240814,5.52
Agri_Land,09-09-2015 00:00,0.137548611,0.108832076,0.073066756,0.046954338,0.058849391,5.153333333
Agri_Land,15-09-2015 00:00,0.120011508,0.093087502,0.058948129,0.037128281,0.044260457,5.373333333
Agri_Land,01-10-2015 00:00,0.185726136,0.161057264,0.128059059,0.110235304,0.165410966,5.515
Agri_Land,14-10-2015 00:00,0.166221395,0.131943941,0.082362533,0.062205389,0.071928717,5.49
Agri_Land,03-11-2015 00:00,0.127019346,0.099678867,0.062803239,0.044124905,0.054972928,5.04
Agri_Land,13-11-2015 00:00,0.124778867,0.093778864,0.053865466,0.031262979,0.022450821,5.21
Agri_Land,01-02-2016 00:00,0.219513044,0.184031412,0.132095635,0.115749218,0.21360527,5.016666667
Agri_Land,17-02-2016 00:00,0.188922957,0.155445099,0.111133598,0.094460979,0.204644606,4.955
Agri_Land,30-03-2016 00:00,0.47623387,0.482759953,0.463742107,0.475734562,0.450350195,4.77
Agri_Land,31-03-2016 00:00,0.47623387,0.482759953,0.463742107,0.475734562,0.450350195,4.906666667
Agri_Land,22-04-2016 00:00,0.304890186,0.292791337,0.292918593,0.27404061,0.192445233,5.035
Agri_Land,31-05-2016 00:00,0.139873549,0.11281722,0.079115734,0.052933298,0.078439884,5.09
