SiteID,Date,Band1_Mean,Band2_Mean,Band3_Mean,Band4_Mean,Band5_Mean,Band6_Mean,Band7_Mean,Band8_Mean,Band9_Mean,Band10_Mean,Band11_Mean,Band12_Mean,Band13_Mean,TP
Agri_Land_TP,13-06-2017 00:00,1180.0,853.0,630.0,427.0,406.0,513.0,495.0,540.0,424.0,159.0,6.0,240.0,138.0,0.273
Agri_Land_TP,05-07-2017 00:00,1125.682171,849.9922481,604.3023256,423.4263566,359.9457364,440.9147287,472.2713178,435.744186,407.0077519,104.9147287,7.356589147,177.9767442,111.875969,0.184
Agri_Land_TP,10-07-2017 00:00,1125.682171,849.9922481,604.3023256,423.4263566,359.9457364,440.9147287,472.2713178,435.744186,407.0077519,104.9147287,7.356589147,177.9767442,111.875969,0.2478
Agri_Land_TP,27-03-2018 00:00,4893.814223,5422.646637,5077.825248,5573.14333,5445.636714,5600.51323,5515.324146,5521.437155,5376.581036,2666.604741,98.44928335,627.2932745,504.6714443,0.083166667
Agri_Land_TP,18-04-2018 00:00,4278.0267,4568.506573,4383.373969,4427.983016,4230.131379,3928.41553,3542.840369,3290.866335,3132.504205,1376.700335,23.46223565,329.3557606,240.0616478,0.0714
Agri_Land_TP,27-04-2018 00:00,4278.0267,4568.506573,4383.373969,4427.983016,4230.131379,3928.41553,3542.840369,3290.866335,3132.504205,1376.700335,23.46223565,329.3557606,240.0616478,0.095
Agri_Land_TP,03-05-2018 00:00,1008.607624,686.8827056,419.5813822,259.6906459,233.6339781,224.9438977,214.9199186,191.0559891,183.410587,144.5490329,10.88756928,115.2745165,77.25506164,0.096666667
Agri_Land_TP,10-05-2018 00:00,996.7446264,675.8079154,413.4151598,252.9686683,225.9615603,217.781417,209.2606619,185.7322302,178.6601842,133.8926419,10.98117821,112.1148641,71.41749119,0.1254
Agri_Land_TP,16-05-2018 00:00,1036.779791,716.2167012,457.5318611,290.1380837,268.5674603,268.9015988,262.8232689,230.4355878,230.3516218,132.3220037,9.760927076,136.2011157,87.87755924,0.1266
Agri_Land_TP,22-05-2018 00:00,1088.742417,767.8870209,508.0549024,334.4014813,318.7288972,327.0191629,321.9984717,280.8094286,286.2200799,141.0378556,8.448859628,162.8213026,109.7973195,0.139
Agri_Land_TP,11-06-2018 00:00,967.7957686,655.0626079,412.324266,229.8104491,210.2940415,260.9399827,264.2249568,238.8942142,218.8976684,115.6649396,9.016839378,68.85319516,32.73704663,0.2322
Agri_Land_TP,30-08-2018 00:00,1018.969199,693.2349418,431.0284052,242.279603,219.6047228,260.0350787,269.0971937,231.7681383,216.2270705,102.3215264,8.508898015,60.21167009,26.84291581,0.1832
Agri_Land_TP,24-09-2018 00:00,1128.987904,791.6347142,510.3962806,303.9222861,287.5414273,344.3181131,350.2887814,298.912156,292.5693982,118.0879952,10.21046265,73.42500756,34.07544602,0.163
Agri_Land_TP,15-01-2019 00:00,3462.652008,3595.796048,3075.31485,3212.615679,2693.710644,2829.943276,2863.952836,3337.054812,2812.551307,1798.996813,38.26577438,455.0764818,427.8769917,0.0608
Agri_Land_TP,06-06-2019 00:00,1021.83829,711.1750929,480.9996283,304.739777,294.8739777,326.3472119,330.9215613,287.2208178,287.8256506,123.8100372,7.696654275,146.169145,100.5171004,0.1284
Agri_Land_TP,25-07-2019 00:00,1389.923077,1633.0,1383.384615,1008.384615,796.3076923,1115.615385,1125.0,2638.076923,938.6923077,322.1538462,14.53846154,709.0769231,247.5384615,0.1005
Agri_Land_TP,09-08-2019 00:00,1111.0,890.0,847.0,801.0,390.0,557.0,657.0,915.0,632.0,223.0,14.0,272.0,143.0,0.1926
Agri_Land_TP,06-09-2019 00:00,1029.050797,704.3118076,440.2458795,249.4031343,232.1567144,280.3628749,281.2993785,246.6211835,234.6336125,117.2072413,14.28803026,65.74736558,29.15077006,0.153
Agri_Land_TP,08-07-2021 00:00,1061.456376,739.590604,474.385906,287.9563758,262.3288591,333.3087248,343.7214765,305.2651007,277.7114094,142.9362416,11.29865772,93.75503356,49.86912752,0.5354
